,0,1,2,3,4
406,2019-01-20,1282.58500,XAU,USD,41.23606104525924
407,2019-01-19,1281.40000,XAU,USD,41.1979624144951
408,2019-01-18,1281.40000,XAU,USD,41.1979624144951
409,2019-01-17,1292.41000,XAU,USD,41.551942097797415
410,2019-01-16,1293.03500,XAU,USD,41.57203631233547
411,2019-01-15,1289.70500,XAU,USD,41.46497433727672
412,2019-01-14,1291.57500,XAU,USD,41.52509622717458
413,2019-01-13,1288.10500,XAU,USD,41.413533148059315
414,2019-01-12,1287.76500,XAU,USD,41.40260189535062
415,2019-01-11,1287.76500,XAU,USD,41.40260189535062
416,2019-01-10,1288.09000,XAU,USD,41.4130508869104
417,2019-01-09,1293.01000,XAU,USD,41.57123254375394
418,2019-01-08,1285.24500,XAU,USD,41.32158202233319
419,2019-01-07,1288.93000,XAU,USD,41.44005751124955
420,2019-01-06,1284.33500,XAU,USD,41.29232484596579
421,2019-01-05,1284.89000,XAU,USD,41.31016850847558
422,2019-01-04,1284.89000,XAU,USD,41.31016850847558
423,2019-01-03,1295.29500,XAU,USD,41.64469699210506
424,2019-01-02,1286.01500,XAU,USD,41.346338094644075
425,2019-01-01,1281.27000,XAU,USD,41.19378281787118
426,2018-12-31,1282.20000,XAU,USD,41.2236830091038
427,2018-12-30,1279.83500,XAU,USD,41.14764650129182
428,2018-12-29,1280.88000,XAU,USD,41.18124402799944
429,2018-12-28,1280.88000,XAU,USD,41.18124402799944
430,2018-12-27,1274.69000,XAU,USD,40.98223092721457
431,2018-12-26,1269.25500,XAU,USD,40.80749163759168
432,2018-12-25,1267.21000,XAU,USD,40.74174336762317
433,2018-12-24,1269.17000,XAU,USD,40.804758824414506
434,2018-12-23,1258.97000,XAU,USD,40.4768212431535
435,2018-12-22,1255.65000,XAU,USD,40.37008077552737
436,2018-12-21,1255.65000,XAU,USD,40.37008077552737
437,2018-12-20,1262.07000,XAU,USD,40.57648854726223
438,2018-12-19,1244.14500,XAU,USD,40.00018647431091
439,2018-12-18,1249.58000,XAU,USD,40.17492576393381
440,2018-12-17,1245.94500,XAU,USD,40.0580578121805
441,2018-12-16,1237.17000,XAU,USD,39.77593504006626
442,2018-12-15,1238.62500,XAU,USD,39.82271437151084
443,2018-12-14,1238.62500,XAU,USD,39.82271437151084
444,2018-12-13,1242.55000,XAU,USD,39.9489060388098
445,2018-12-12,1246.21500,XAU,USD,40.06673851286094
446,2018-12-11,1243.20500,XAU,USD,39.96996477564568
447,2018-12-10,1244.11500,XAU,USD,39.99922195201309
448,2018-12-09,1249.09500,XAU,USD,40.15933265345228
449,2018-12-08,1248.68500,XAU,USD,40.146150848715315
450,2018-12-07,1248.68500,XAU,USD,40.146150848715315
451,2018-12-06,1237.49000,XAU,USD,39.78622327790974
452,2018-12-05,1238.37500,XAU,USD,39.814676685695616
453,2018-12-04,1238.84500,XAU,USD,39.82978753502823
454,2018-12-03,1231.25500,XAU,USD,39.585763393678135
455,2018-12-02,1222.18000,XAU,USD,39.29399539858562
456,2018-12-01,1222.17000,XAU,USD,39.29367389115302
457,2018-11-30,1222.17000,XAU,USD,39.29367389115302
458,2018-11-29,1224.36500,XAU,USD,39.364244772610654
459,2018-11-28,1221.10000,XAU,USD,39.25927259586387
460,2018-11-27,1214.61500,XAU,USD,39.050775025817046
461,2018-11-26,1222.75500,XAU,USD,39.31248207596063
462,2018-11-25,1224.49000,XAU,USD,39.36826361551826
463,2018-11-24,1223.05000,XAU,USD,39.32196654522259
